,dt,ax [mg],ay [mg],az [mg],gx [mdeg/s],gy [mdeg/s],gz [mdeg/s],mx [mgauss],my [mgauss],mz [mgauss],roll [deg],pitch [deg],yaw [deg]
56,0.004,49.044,-59.536,1056.276,11637.5,4637.5,280.0,-10.500000000000002,196.42000000000002,-925.2600000000001,-3.3956043956043955,2.681318681318681,-76.45054945054945
57,0.004,49.044,-59.78,1056.764,11707.5,4497.5,262.5,-10.500000000000002,196.42000000000002,-925.2600000000001,-3.258241758241758,2.6648351648351647,-76.43956043956044
58,0.004,49.044,-60.024,1057.4959999999999,11900.0,4585.0,350.0,-10.500000000000002,196.42000000000002,-925.2600000000001,-3.1923076923076925,2.543956043956044,-76.43406593406593
59,0.004,48.8,-60.024,1057.74,11655.0,4497.5,262.5,-10.500000000000002,196.42000000000002,-925.2600000000001,-3.32967032967033,2.71978021978022,-76.43956043956044
60,0.004,48.8,-60.268,1058.716,11585.0,4515.0,245.0,-9.8,189.14000000000001,-926.3800000000001,-3.258241758241758,2.598901098901099,-76.43406593406593
61,0.004,48.8,-60.756,1059.204,10570.0,4305.0,315.0,-9.8,189.14000000000001,-926.3800000000001,-3.412087912087912,2.7637362637362637,-76.43956043956044
62,0.004,48.8,-61.0,1060.18,11550.0,4340.0,262.5,-9.8,189.14000000000001,-926.3800000000001,-3.3351648351648353,2.642857142857143,-76.43406593406593
63,0.004,48.8,-61.0,1060.912,11602.5,4585.0,315.0,-7.420000000000001,185.92000000000002,-926.3800000000001,-3.208791208791209,2.6043956043956045,-76.42307692307692
64,0.004,49.044,-61.0,1061.156,10972.5,4637.5,350.0,-7.420000000000001,185.92000000000002,-926.3800000000001,-3.4175824175824174,2.697802197802198,-76.42857142857143
65,0.004,48.8,-60.756,1060.912,11392.5,4462.5,192.5,-7.420000000000001,185.92000000000002,-926.3800000000001,-3.2967032967032965,2.631868131868132,-76.42307692307692
66,0.004,48.8,-60.756,1060.18,11445.0,4445.0,420.0,-8.540000000000001,190.82000000000002,-922.7400000000001,-3.1648351648351647,2.60989010989011,-76.41758241758242
67,0.004,48.8,-60.512,1059.204,11200.0,4497.5,192.5,-8.540000000000001,190.82000000000002,-922.7400000000001,-3.39010989010989,2.6648351648351647,-76.42307692307692
68,0.004,48.8,-60.512,1058.716,11532.5,4497.5,175.0,-8.540000000000001,190.82000000000002,-922.7400000000001,-3.258241758241758,2.6373626373626373,-76.41758241758242
69,0.004,49.044,-60.268,1057.74,11602.5,4515.0,87.5,-10.920000000000002,190.4,-925.2600000000001,-3.3076923076923075,2.8351648351648353,-76.41758241758242
70,0.004,49.044,-60.268,1057.008,11007.5,4585.0,385.0,-10.920000000000002,190.4,-925.2600000000001,-3.3076923076923075,2.6758241758241756,-76.41208791208791
71,0.004,49.044,-60.024,1056.032,11882.5,4322.5,227.5,-10.920000000000002,190.4,-925.2600000000001,-3.1868131868131866,2.620879120879121,-76.4065934065934
72,0.004,49.044,-60.024,1055.5439999999999,11480.0,4410.0,227.5,-6.580000000000001,192.50000000000003,-920.9200000000001,-3.3956043956043955,2.71978021978022,-76.41208791208791
73,0.004,49.044,-59.78,1054.812,11270.0,4620.0,175.0,-6.580000000000001,192.50000000000003,-920.9200000000001,-3.2747252747252746,2.67032967032967,-76.4065934065934
74,0.004,49.288,-59.78,1054.568,11585.0,4777.5,157.5,-6.580000000000001,192.50000000000003,-920.9200000000001,-3.1373626373626373,2.6923076923076925,-76.4010989010989
75,0.004,49.288,-59.78,1054.324,11795.0,4672.5,297.5,-9.66,192.78000000000003,-928.2,-3.3626373626373627,2.6758241758241756,-76.4065934065934
76,0.004,49.288,-59.78,1054.324,11637.5,4707.5,297.5,-9.66,192.78000000000003,-928.2,-3.2252747252747254,2.6868131868131866,-76.4010989010989
77,0.004,49.288,-59.78,1054.324,11515.0,4410.0,280.0,-9.66,192.78000000000003,-928.2,-3.4065934065934065,2.576923076923077,-76.4010989010989
78,0.004,49.288,-59.536,1054.568,11742.5,4637.5,280.0,-7.700000000000001,191.38000000000002,-923.0200000000001,-3.291208791208791,2.681318681318681,-76.3956043956044
79,0.004,49.288,-59.536,1055.056,11760.0,4410.0,210.0,-7.700000000000001,191.38000000000002,-923.0200000000001,-3.159340659340659,2.659340659340659,-76.39010989010988
80,0.004,49.288,-59.78,1055.5439999999999,11637.5,4410.0,227.5,-7.700000000000001,191.38000000000002,-923.0200000000001,-3.3846153846153846,2.6923076923076925,-76.3956043956044
81,0.004,49.288,-59.78,1056.032,11515.0,4567.5,315.0,-7.420000000000001,191.38000000000002,-925.82,-3.2527472527472527,2.681318681318681,-76.39010989010988
82,0.004,49.044,-60.024,1056.52,11830.0,4620.0,262.5,-7.420000000000001,191.38000000000002,-925.82,-3.2857142857142856,2.5164835164835164,-76.39010989010988
83,0.004,49.044,-60.268,1057.252,11637.5,4497.5,140.0,-7.420000000000001,191.38000000000002,-925.82,-3.302197802197802,2.7142857142857144,-76.39010989010988
84,0.004,49.044,-60.268,1057.984,11410.0,4532.5,245.0,-7.420000000000001,191.38000000000002,-925.82,-3.2472527472527473,2.576923076923077,-76.38461538461539
85,0.004,49.288,-60.512,1058.472,11497.5,4602.5,140.0,-8.96,192.36,-929.0400000000001,-3.340659340659341,2.769230769230769,-76.38461538461539
86,0.004,49.532,-60.512,1059.204,10902.5,4567.5,192.5,-8.96,192.36,-929.0400000000001,-3.2747252747252746,2.642857142857143,-76.37912087912088
87,0.004,49.288,-60.756,1059.936,11725.0,4532.5,122.5,-8.96,192.36,-929.0400000000001,-3.357142857142857,2.840659340659341,-76.38461538461539
88,0.004,49.288,-60.756,1060.668,11620.0,4357.5,210.0,-5.32,188.16000000000003,-925.2600000000001,-3.32967032967033,2.6923076923076925,-76.37912087912088
89,0.004,49.288,-60.756,1060.912,11322.5,4585.0,192.5,-5.32,188.16000000000003,-925.2600000000001,-3.2252747252747254,2.60989010989011,-76.37362637362638
90,0.004,49.288,-60.512,1060.668,11375.0,4462.5,157.5,-5.32,188.16000000000003,-925.2600000000001,-3.39010989010989,2.7637362637362637,-76.37912087912088
91,0.004,49.532,-60.512,1060.424,11462.5,4480.0,210.0,-4.9,188.3,-923.7200000000001,-3.291208791208791,2.67032967032967,-76.37362637362638
92,0.004,49.288,-60.268,1059.4479999999999,11305.0,4637.5,87.5,-4.9,188.3,-923.7200000000001,-3.1648351648351647,2.6263736263736264,-76.36813186813187
93,0.004,49.288,-60.024,1058.716,11182.5,4550.0,157.5,-4.9,188.3,-923.7200000000001,-3.379120879120879,2.7142857142857144,-76.37362637362638
94,0.004,49.288,-60.024,1058.228,11182.5,4760.0,262.5,-7.840000000000001,187.04000000000002,-924.9800000000001,-3.2527472527472527,2.6648351648351647,-76.36813186813187
95,0.004,49.288,-60.024,1057.252,11182.5,4550.0,315.0,-7.840000000000001,187.04000000000002,-924.9800000000001,-3.120879120879121,2.6263736263736264,-76.35714285714286
96,0.004,49.044,-59.78,1056.276,11550.0,4602.5,140.0,-7.840000000000001,187.04000000000002,-924.9800000000001,-3.3461538461538463,2.6868131868131866,-76.36263736263736
97,0.004,49.288,-59.78,1055.3,11620.0,4585.0,350.0,-3.7800000000000002,190.4,-921.6200000000001,-3.2142857142857144,2.6758241758241756,-76.35714285714286
98,0.004,49.288,-59.78,1054.568,11270.0,4532.5,315.0,-3.7800000000000002,190.4,-921.6200000000001,-3.4395604395604398,2.659340659340659,-76.36263736263736
99,0.004,49.532,-59.78,1054.08,11882.5,4585.0,210.0,-3.7800000000000002,190.4,-921.6200000000001,-3.3076923076923075,2.7032967032967035,-76.35714285714286
100,0.004,49.532,-59.536,1054.08,11567.5,4760.0,280.0,-3.9200000000000004,189.70000000000002,-931.1400000000001,-3.1758241758241756,2.681318681318681,-76.35164835164835
101,0.004,49.532,-59.536,1054.324,11427.5,4480.0,280.0,-3.9200000000000004,189.70000000000002,-931.1400000000001,-3.401098901098901,2.708791208791209,-76.35714285714286
102,0.004,49.532,-59.536,1054.324,11760.0,4445.0,192.5,-3.9200000000000004,189.70000000000002,-931.1400000000001,-3.269230769230769,2.697802197802198,-76.35164835164835
103,0.004,49.288,-59.536,1054.324,11812.5,4497.5,210.0,-5.460000000000001,188.86,-929.6000000000001,-3.17032967032967,2.6043956043956045,-76.34615384615384
104,0.004,49.532,-59.78,1054.812,11672.5,4480.0,227.5,-5.460000000000001,188.86,-929.6000000000001,-3.340659340659341,2.758241758241758,-76.34615384615384
105,0.004,49.288,-59.78,1055.3,11620.0,4410.0,175.0,-5.460000000000001,188.86,-929.6000000000001,-3.2527472527472527,2.6538461538461537,-76.34065934065934
106,0.004,49.044,-60.024,1055.5439999999999,11550.0,4287.5,332.5,-7.840000000000001,192.36,-928.7600000000001,-3.4725274725274726,2.7252747252747254,-76.34615384615384
107,0.004,49.044,-60.024,1056.276,11480.0,4707.5,315.0,-7.840000000000001,192.36,-928.7600000000001,-3.3461538461538463,2.6868131868131866,-76.34065934065934
108,0.004,49.044,-60.268,1056.764,11812.5,4672.5,280.0,-7.840000000000001,192.36,-928.7600000000001,-3.2252747252747254,2.631868131868132,-76.33516483516483
109,0.004,49.288,-60.268,1057.74,11830.0,4567.5,227.5,-7.840000000000001,192.36,-928.7600000000001,-3.412087912087912,2.769230769230769,-76.34065934065934
110,0.004,49.288,-60.512,1058.716,11567.5,4392.5,350.0,-6.86,192.78000000000003,-931.1400000000001,-3.3131868131868134,2.6758241758241756,-76.33516483516483
111,0.004,49.288,-60.512,1059.204,10850.0,4462.5,297.5,-6.86,192.78000000000003,-931.1400000000001,-3.1868131868131866,2.631868131868132,-76.32417582417582
112,0.004,49.288,-60.512,1059.936,11620.0,4532.5,122.5,-6.86,192.78000000000003,-931.1400000000001,-3.4065934065934065,2.708791208791209,-76.32967032967034
113,0.004,49.288,-60.268,1060.668,11480.0,4620.0,210.0,-4.9,187.32000000000002,-927.7800000000001,-3.28021978021978,2.6648351648351647,-76.32417582417582
114,0.004,49.288,-60.268,1060.668,10937.5,4550.0,210.0,-4.9,187.32000000000002,-927.7800000000001,-3.1538461538461537,2.60989010989011,-76.31868131868131
115,0.004,49.288,-60.268,1060.424,11812.5,4357.5,105.0,-4.9,187.32000000000002,-927.7800000000001,-3.368131868131868,2.7032967032967035,-76.32417582417582
116,0.004,49.288,-60.268,1059.936,11847.5,4305.0,245.0,-6.300000000000001,187.60000000000002,-925.96,-3.2472527472527473,2.6483516483516483,-76.31868131868131
117,0.004,49.044,-60.024,1059.204,11025.0,4340.0,157.5,-6.300000000000001,187.60000000000002,-925.96,-3.1868131868131866,2.5164835164835164,-76.31318681318682
118,0.004,49.044,-59.78,1058.228,11637.5,4462.5,140.0,-6.300000000000001,187.60000000000002,-925.96,-3.2967032967032965,2.708791208791209,-76.31868131868131
119,0.004,48.8,-59.536,1057.252,11760.0,4427.5,280.0,-6.86,188.72000000000003,-925.2600000000001,-3.208791208791209,2.598901098901099,-76.31318681318682
120,0.004,48.8,-59.536,1056.764,11252.5,4375.0,332.5,-6.86,188.72000000000003,-925.2600000000001,-3.3131868131868134,2.791208791208791,-76.31318681318682
121,0.004,49.044,-59.536,1055.788,11182.5,4462.5,140.0,-6.86,188.72000000000003,-925.2600000000001,-3.258241758241758,2.6538461538461537,-76.3076923076923
122,0.004,49.044,-59.292,1055.056,11392.5,4637.5,192.5,-4.62,190.68,-927.6400000000001,-3.120879120879121,2.6868131868131866,-76.3021978021978
123,0.004,49.288,-59.292,1054.568,11270.0,4637.5,175.0,-4.62,190.68,-927.6400000000001,-3.3461538461538463,2.6758241758241756,-76.3076923076923
124,0.004,49.288,-59.292,1054.08,11515.0,4602.5,210.0,-4.62,190.68,-927.6400000000001,-3.208791208791209,2.6868131868131866,-76.3021978021978
125,0.004,49.288,-59.292,1054.08,11672.5,4462.5,280.0,-6.86,192.22000000000003,-929.1800000000001,-3.3351648351648353,2.5384615384615383,-76.3021978021978
126,0.004,49.532,-59.048,1054.08,11357.5,4515.0,192.5,-6.86,192.22000000000003,-929.1800000000001,-3.258241758241758,2.697802197802198,-76.3021978021978
127,0.004,49.532,-59.048,1054.324,11445.0,4445.0,175.0,-6.86,192.22000000000003,-929.1800000000001,-3.1263736263736264,2.6758241758241756,-76.2967032967033
128,0.004,49.288,-59.292,1054.568,11602.5,4427.5,227.5,-4.48,191.52,-933.6600000000001,-3.3516483516483517,2.681318681318681,-76.3021978021978
129,0.004,49.288,-59.292,1054.812,11620.0,4462.5,297.5,-4.48,191.52,-933.6600000000001,-3.21978021978022,2.681318681318681,-76.29120879120879
130,0.004,49.532,-59.536,1055.3,11147.5,4480.0,280.0,-4.48,191.52,-933.6600000000001,-3.4450549450549453,2.6758241758241756,-76.2967032967033
131,0.004,49.532,-59.536,1055.788,11655.0,4620.0,245.0,-6.16,192.92000000000002,-928.2,-3.3076923076923075,2.697802197802198,-76.29120879120879
132,0.004,49.288,-59.536,1056.52,11410.0,4532.5,280.0,-6.16,192.92000000000002,-928.2,-3.181318681318681,2.6483516483516483,-76.28571428571429
133,0.004,49.288,-59.78,1057.252,11550.0,4427.5,157.5,-6.16,192.92000000000002,-928.2,-3.4065934065934065,2.7142857142857144,-76.29120879120879
134,0.004,49.532,-60.024,1057.984,11585.0,4427.5,245.0,-6.16,192.92000000000002,-928.2,-3.2747252747252746,2.6868131868131866,-76.28571428571429
