,dt,ax [mg],ay [mg],az [mg],gx [mdeg/s],gy [mdeg/s],gz [mdeg/s],mx [mgauss],my [mgauss],mz [mgauss],roll [deg],pitch [deg],yaw [deg]
33,0.004,-199.10399999999998,-59.78,1048.468,11515.0,4147.5,682.5,-120.96000000000001,217.14000000000001,-889.5600000000001,-3.208791208791209,-10.82967032967033,-77.42307692307692
34,0.004,-199.10399999999998,-60.024,1049.2,10535.0,4322.5,612.5,-120.96000000000001,217.14000000000001,-889.5600000000001,-3.3516483516483517,-10.659340659340659,-77.3956043956044
35,0.004,-198.85999999999999,-60.268,1049.932,11672.5,4585.0,805.0,-120.96000000000001,217.14000000000001,-889.5600000000001,-3.2527472527472527,-10.752747252747254,-77.42857142857143
36,0.004,-198.85999999999999,-60.024,1050.664,11357.5,4445.0,822.5,-113.96000000000001,214.90000000000003,-889.5600000000001,-3.357142857142857,-10.565934065934066,-77.4065934065934
37,0.004,-198.85999999999999,-60.024,1050.664,10832.5,4515.0,385.0,-113.96000000000001,214.90000000000003,-889.5600000000001,-3.302197802197802,-10.703296703296703,-77.42857142857143
38,0.004,-198.61599999999999,-59.78,1050.42,10867.5,4392.5,612.5,-113.96000000000001,214.90000000000003,-889.5600000000001,-3.1648351648351647,-10.648351648351648,-77.45604395604396
39,0.004,-198.85999999999999,-59.78,1050.176,11340.0,4357.5,525.0,-120.82000000000001,211.82000000000002,-893.6200000000001,-3.3626373626373627,-10.73076923076923,-77.43406593406593
40,0.004,-198.85999999999999,-59.78,1049.444,10727.5,4165.0,542.5,-120.82000000000001,211.82000000000002,-893.6200000000001,-3.2252747252747254,-10.686813186813186,-77.46153846153847
41,0.004,-198.85999999999999,-59.536,1048.468,11410.0,4480.0,595.0,-120.82000000000001,211.82000000000002,-893.6200000000001,-3.3736263736263736,-10.81868131868132,-77.44505494505495
42,0.004,-198.85999999999999,-59.536,1047.7359999999999,11550.0,4410.0,682.5,-116.76,211.26000000000002,-892.3600000000001,-3.269230769230769,-10.692307692307692,-77.46703296703296
43,0.004,-199.10399999999998,-59.536,1046.76,10902.5,4497.5,770.0,-116.76,211.26000000000002,-892.3600000000001,-3.269230769230769,-10.851648351648352,-77.48351648351648
44,0.004,-198.85999999999999,-59.292,1046.028,11532.5,4305.0,595.0,-116.76,211.26000000000002,-892.3600000000001,-3.269230769230769,-10.659340659340659,-77.47802197802197
45,0.004,-198.85999999999999,-59.292,1045.54,11497.5,4410.0,490.0,-117.46000000000001,214.20000000000002,-895.0200000000001,-3.269230769230769,-10.81868131868132,-77.49450549450549
46,0.004,-198.61599999999999,-59.292,1044.808,11042.5,4462.5,560.0,-117.46000000000001,214.20000000000002,-895.0200000000001,-3.258241758241758,-10.626373626373626,-77.49450549450549
47,0.004,-198.61599999999999,-59.292,1044.564,11672.5,4305.0,700.0,-117.46000000000001,214.20000000000002,-895.0200000000001,-3.291208791208791,-10.791208791208792,-77.50549450549451
48,0.004,-198.61599999999999,-59.292,1044.32,11760.0,4410.0,787.5,-119.00000000000001,220.22000000000003,-891.1000000000001,-3.197802197802198,-10.653846153846153,-77.52197802197803
49,0.004,-198.61599999999999,-59.292,1044.076,11217.5,4305.0,735.0,-119.00000000000001,220.22000000000003,-891.1000000000001,-3.3241758241758244,-10.796703296703297,-77.51098901098901
50,0.004,-198.61599999999999,-59.292,1044.076,11550.0,4497.5,700.0,-119.00000000000001,220.22000000000003,-891.1000000000001,-3.208791208791209,-10.686813186813186,-77.53296703296704
51,0.004,-198.61599999999999,-59.292,1044.32,11602.5,4427.5,665.0,-120.26,219.8,-889.0000000000001,-3.3516483516483517,-10.824175824175825,-77.52197802197803
52,0.004,-198.61599999999999,-59.536,1044.564,11777.5,4445.0,735.0,-120.26,219.8,-889.0000000000001,-3.258241758241758,-10.692307692307692,-77.53846153846153
53,0.004,-198.61599999999999,-59.536,1044.808,11602.5,4427.5,577.5,-120.26,219.8,-889.0000000000001,-3.3131868131868134,-10.851648351648352,-77.54395604395604
54,0.004,-198.61599999999999,-59.536,1045.296,11707.5,4445.0,525.0,-119.00000000000001,220.22000000000003,-893.34,-3.28021978021978,-10.67032967032967,-77.54945054945055
